t_sec,x_mm,y_mm,theta_deg,cte_mm,head_err_deg
0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,90.000
0.000,3.000,0.000,0.964,0.000,90.000
1.000,10.000,0.000,2.981,-3.000,89.036
1.000,19.000,1.000,5.961,-10.000,87.019
1.000,32.000,2.000,10.958,-19.000,84.039
1.000,48.000,5.000,14.903,-32.000,79.042
1.000,67.000,10.000,18.935,-48.000,75.097
1.000,89.000,18.000,23.932,-67.000,71.065
1.000,113.000,28.000,27.877,-89.000,66.068
1.000,139.000,42.000,31.909,-113.000,62.123
1.000,167.000,60.000,36.818,-139.000,58.091
2.000,196.000,81.000,40.851,-167.000,53.182
2.000,225.000,107.000,44.796,-196.000,49.149
2.000,254.000,135.000,48.828,-225.000,45.204
2.000,280.000,166.000,53.825,-254.000,41.172
2.000,303.000,198.000,57.770,-280.000,36.175
2.000,324.000,231.000,61.802,-303.000,32.230
2.000,343.000,267.000,66.799,-324.000,28.198
2.000,359.000,304.000,70.744,-343.000,23.201
2.000,372.000,342.000,74.776,-359.000,19.256
3.000,382.000,380.000,79.773,-372.000,15.224
3.000,389.000,419.000,83.718,-382.000,10.227
3.000,393.000,459.000,87.750,-389.000,6.282
3.000,395.000,500.000,91.695,-393.000,2.250
3.000,393.000,540.000,96.692,-395.000,-1.695
3.000,388.000,580.000,99.672,-393.000,-6.692
3.000,381.000,619.000,101.689,-388.000,-9.672
3.000,373.000,658.000,100.724,-381.000,-11.689
3.000,366.000,697.000,97.744,-373.000,-10.724
4.000,360.000,737.000,95.727,-366.000,-7.744
4.000,356.000,777.000,94.676,-360.000,-5.727
4.000,352.000,816.000,94.676,-356.000,-4.676
4.000,349.000,856.000,95.727,-352.000,-4.676
4.000,345.000,896.000,96.692,-349.000,-5.727
4.000,340.000,936.000,96.692,-345.000,-6.692
4.000,336.000,975.000,96.692,-340.000,-6.692
4.000,331.000,1015.000,96.692,-336.000,-6.692
4.000,326.000,1055.000,95.727,-331.000,-6.692
4.000,322.000,1095.000,95.727,-326.000,-5.727
5.000,318.000,1135.000,95.727,-322.000,-5.727
5.000,314.000,1175.000,95.727,-318.000,-5.727
5.000,310.000,1214.000,95.727,-314.000,-5.727
5.000,305.000,1254.000,95.727,-310.000,-5.727
5.000,301.000,1294.000,95.727,-305.000,-5.727
5.000,297.000,1334.000,95.727,-301.000,-5.727
5.000,293.000,1374.000,95.727,-297.000,-5.727
5.000,289.000,1414.000,95.727,-293.000,-5.727
5.000,285.000,1454.000,94.676,-289.000,-5.727
6.000,281.000,1494.000,94.676,-285.000,-4.676
6.000,278.000,1533.000,94.676,-281.000,-4.676
6.000,274.000,1573.000,95.727,-278.000,-4.676
6.000,270.000,1613.000,95.727,-274.000,-5.727
6.000,266.000,1653.000,94.676,-270.000,-5.727
6.000,263.000,1693.000,94.676,-266.000,-4.676
6.000,259.000,1733.000,94.676,-263.000,-4.676
6.000,256.000,1772.000,94.676,-259.000,-4.676
6.000,252.000,1812.000,94.676,-256.000,-4.676
7.000,249.000,1852.000,94.676,-252.000,-4.676
7.000,245.000,1892.000,94.676,-249.000,-4.676
7.000,242.000,1932.000,94.676,-245.000,-4.676
7.000,239.000,1972.000,94.676,-242.000,-4.676
7.000,235.000,2011.000,94.676,-239.000,-4.676
7.000,232.000,2051.000,93.711,-235.000,-4.676
7.000,229.000,2091.000,93.711,-232.000,-3.711
7.000,226.000,2131.000,93.711,-229.000,-3.711
7.000,223.000,2171.000,94.676,-226.000,-3.711
8.000,220.000,2211.000,94.676,-223.000,-4.676
8.000,217.000,2251.000,94.676,-220.000,-4.676
8.000,213.000,2291.000,93.711,-217.000,-4.676
8.000,211.000,2331.000,93.711,-213.000,-3.711
8.000,208.000,2370.000,93.711,-211.000,-3.711
8.000,205.000,2410.000,93.711,-208.000,-3.711
8.000,203.000,2450.000,93.711,-205.000,-3.711
8.000,200.000,2489.000,93.711,-203.000,-3.711
8.000,197.000,2529.000,93.711,-200.000,-3.711
9.000,194.000,2569.000,93.711,-197.000,-3.711
9.000,192.000,2609.000,93.711,-194.000,-3.711
9.000,189.000,2648.000,93.711,-192.000,-3.711
9.000,187.000,2688.000,93.711,-189.000,-3.711
9.000,184.000,2728.000,92.747,-187.000,-3.711
9.000,182.000,2768.000,92.747,-184.000,-2.747
9.000,179.000,2808.000,93.711,-182.000,-2.747
9.000,177.000,2848.000,93.711,-179.000,-3.711
9.000,174.000,2888.000,93.711,-177.000,-3.711
9.000,172.000,2928.000,92.747,-174.000,-3.711
10.000,170.000,2967.000,92.747,-172.000,-2.747
10.000,168.000,3007.000,92.747,-170.000,-2.747
10.000,165.000,3047.000,92.747,-168.000,-2.747
10.000,163.000,3087.000,93.711,-165.000,-2.747
10.000,161.000,3127.000,93.711,-163.000,-3.711
10.000,158.000,3167.000,92.747,-161.000,-3.711
10.000,156.000,3207.000,92.747,-158.000,-2.747
10.000,154.000,3247.000,92.747,-156.000,-2.747
10.000,152.000,3287.000,92.747,-154.000,-2.747
11.000,150.000,3327.000,92.747,-152.000,-2.747
11.000,148.000,3367.000,92.747,-150.000,-2.747
11.000,146.000,3407.000,92.747,-148.000,-2.747
11.000,144.000,3447.000,92.747,-146.000,-2.747
11.000,142.000,3487.000,92.747,-144.000,-2.747
11.000,140.000,3527.000,92.747,-142.000,-2.747
11.000,138.000,3567.000,92.747,-140.000,-2.747
11.000,136.000,3607.000,92.747,-138.000,-2.747
11.000,134.000,3647.000,91.695,-136.000,-2.747
12.000,133.000,3687.000,91.695,-134.000,-1.695
12.000,131.000,3727.000,92.747,-133.000,-1.695
12.000,129.000,3767.000,92.747,-131.000,-2.747
12.000,127.000,3807.000,92.747,-129.000,-2.747
12.000,125.000,3846.000,92.747,-127.000,-2.747
12.000,123.000,3886.000,91.695,-125.000,-2.747
12.000,122.000,3926.000,91.695,-123.000,-1.695
12.000,120.000,3966.000,91.695,-122.000,-1.695
12.000,118.000,4006.000,92.747,-120.000,-1.695
13.000,117.000,4046.000,92.747,-118.000,-2.747
13.000,114.000,4086.000,92.747,-117.000,-2.747
13.000,113.000,4126.000,91.695,-114.000,-2.747
13.000,111.000,4166.000,91.695,-113.000,-1.695
13.000,109.000,4206.000,91.695,-111.000,-1.695
13.000,108.000,4246.000,91.695,-109.000,-1.695
13.000,106.000,4286.000,92.747,-108.000,-1.695
13.000,104.000,4326.000,92.747,-106.000,-2.747
13.000,103.000,4366.000,91.695,-104.000,-2.747
14.000,101.000,4406.000,91.695,-103.000,-1.695
14.000,100.000,4446.000,91.695,-101.000,-1.695
14.000,99.000,4485.000,91.695,-100.000,-1.695
14.000,97.000,4525.000,91.695,-99.000,-1.695
14.000,96.000,4565.000,91.695,-97.000,-1.695
14.000,94.000,4605.000,91.695,-96.000,-1.695
14.000,93.000,4646.000,91.695,-94.000,-1.695
14.000,91.000,4686.000,91.695,-354.000,-1.695
14.000,90.000,4725.000,91.695,-314.000,-91.695
14.000,88.000,4765.000,90.731,-275.000,-91.695
15.000,88.000,4805.000,88.714,-235.000,-90.731
15.000,88.000,4845.000,85.734,-195.000,-88.714
15.000,91.000,4885.000,80.737,-155.000,-85.734
15.000,98.000,4925.000,76.792,-115.000,-80.737
15.000,106.000,4964.000,72.760,-75.000,-76.792
15.000,118.000,5002.000,67.763,-36.000,-72.760
15.000,133.000,5039.000,63.818,2.000,-67.763
15.000,150.000,5075.000,59.786,39.000,-63.818
15.000,170.000,5110.000,55.841,75.000,-59.786
16.000,193.000,5143.000,50.844,110.000,-55.841
16.000,218.000,5174.000,46.812,143.000,-50.844
16.000,245.000,5203.000,42.867,174.000,-46.812
16.000,274.000,5230.000,37.870,203.000,-42.867
16.000,306.000,5254.000,33.838,230.000,-37.870
16.000,339.000,5277.000,29.893,254.000,-33.838
16.000,373.000,5297.000,24.896,277.000,-29.893
16.000,410.000,5314.000,20.864,297.000,-24.896
16.000,447.000,5329.000,16.919,314.000,-20.864
17.000,485.000,5340.000,12.886,329.000,-16.919
17.000,524.000,5349.000,7.977,340.000,-12.886
17.000,564.000,5355.000,3.945,349.000,-7.977
17.000,603.000,5357.000,0.000,355.000,-3.945
17.000,644.000,5357.000,-4.909,357.000,-0.000
